%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606826297403365220,1015,1606826297403240395,world,2690400.4604,1194455.3598,438.2041
1606826297488294900,1016,1606826297488174483,world,2690400.4605,1194455.3599,438.2041
1606826297638153378,1017,1606826297637991096,world,2690400.4604,1194455.3596,438.2041
1606826297708029563,1018,1606826297707900169,world,2690400.4604,1194455.3597,438.2041
1606826297836023405,1019,1606826297835856944,world,2690400.4605,1194455.3601,438.2041
1606826297930850815,1020,1606826297930703402,world,2690400.4606,1194455.3603,438.2041
1606826298081763727,1021,1606826298081565615,world,2690400.4605,1194455.3601,438.2041
1606826298193718545,1022,1606826298193516704,world,2690400.4605,1194455.36,438.2041
1606826298278600246,1023,1606826298278415462,world,2690400.4606,1194455.3602,438.2041
1606826298406450975,1024,1606826298406230832,world,2690400.4605,1194455.3601,438.2041
1606826298549159506,1025,1606826298548992089,world,2690400.4605,1194455.36,438.2041
1606826298748010665,1026,1606826298747810700,world,2690400.4605,1194455.3599,438.2041
1606826298804806349,1027,1606826298804675789,world,2690400.4603,1194455.3594,438.2041
1606826298884961061,1028,1606826298884700213,world,2690400.4604,1194455.3597,438.2041
1606826299001959492,1029,1606826299001717778,world,2690400.4605,1194455.3599,438.2041
1606826299138518084,1030,1606826299138336403,world,2690400.4604,1194455.3597,438.2041
1606826299314491890,1031,1606826299314256440,world,2690400.4604,1194455.3596,438.2041
1606826299367214643,1032,1606826299367071352,world,2690400.4604,1194455.3598,438.2041
1606826299511165451,1033,1606826299510959729,world,2690400.4604,1194455.3597,438.2041
1606826299558987929,1034,1606826299558830578,world,2690400.4604,1194455.3598,438.2041
1606826299654990185,1035,1606826299654806068,world,2690400.4604,1194455.3598,438.2041
1606826299798701477,1036,1606826299798542011,world,2690400.4604,1194455.3597,438.2041
1606826299906622736,1037,1606826299906426794,world,2690400.4604,1194455.3598,438.2041
1606826300034538648,1038,1606826300034307901,world,2690400.4603,1194455.3595,438.2041
1606826300191321065,1039,1606826300191125561,world,2690400.4604,1194455.3597,438.2041
1606826300270201842,1040,1606826300270035484,world,2690400.4604,1194455.3597,438.2041
1606826300382357086,1041,1606826300382100122,world,2690400.4604,1194455.3596,438.2041
1606826300510018570,1042,1606826300509809772,world,2690400.4605,1194455.3599,438.2041
1606826300637999445,1043,1606826300637769836,world,2690400.4604,1194455.3597,438.2041
