%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606827728203699577,1732553,1606827728195368133,imu_link,0.0018132172990590334,0.002313698409125209,0.20540283620357513,0.9786731600761414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706754684448242,0.21679796278476715,0.2578093111515045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02325422689318657,-0.00584038533270359,0.3694019615650177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728203727848,1732554,1606827728195454586,imu_link,0.0018132172990590334,0.002313698409125209,0.20540283620357513,0.9786731600761414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706754684448242,0.21679796278476715,0.2578093111515045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02325422689318657,-0.00584038533270359,0.3694019615650177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728203740546,1732555,1606827728195562507,imu_link,0.0018136308062821627,0.0023140734992921352,0.20540353655815125,0.978672981262207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70683479309082,0.2168300896883011,0.25786468386650085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010582664981484413,-0.008622141554951668,0.35439789295196533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728203761016,1732556,1606827728195612150,imu_link,0.0018136308062821627,0.0023140734992921352,0.20540353655815125,0.978672981262207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70683479309082,0.2168300896883011,0.25786468386650085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010582664981484413,-0.008622141554951668,0.35439789295196533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728203774412,1732557,1606827728195661278,imu_link,0.0018173563294112682,0.0023171098437160254,0.2054000198841095,0.9786736965179443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70642852783203,0.2170838564634323,0.25835320353507996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015668809413909912,-0.009998164139688015,0.35798361897468567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728204956720,1732558,1606827728195718390,imu_link,0.0018173563294112682,0.0023171098437160254,0.2054000198841095,0.9786736965179443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.70642852783203,0.2170838564634323,0.25835320353507996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015668809413909912,-0.009998164139688015,0.35798361897468567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728204979868,1732559,1606827728195784797,imu_link,0.001817990210838616,0.0023195287212729454,0.20540094375610352,0.9786734580993652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706533432006836,0.21733994781970978,0.2584814131259918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014542997814714909,0.022280769422650337,0.33485648036003113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728205006817,1732560,1606827728195834689,imu_link,0.001817990210838616,0.0023195287212729454,0.20540094375610352,0.9786734580993652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706533432006836,0.21733994781970978,0.2584814131259918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014542997814714909,0.022280769422650337,0.33485648036003113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728205031638,1732561,1606827728195881655,imu_link,0.001813421375118196,0.0023195066023617983,0.20539826154708862,0.978674054145813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706218719482422,0.2174457162618637,0.25796791911125183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018936395645141602,0.03506896272301674,0.3341827094554901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606827728205043716,1732562,1606827728195933575,imu_link,0.001813421375118196,0.0023195066023617983,0.20539826154708862,0.978674054145813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.706218719482422,0.2174457162618637,0.25796791911125183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018936395645141602,0.03506896272301674,0.3341827094554901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
