%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606990683581412764,4069,1606990683264941419,world,2690415.8548,1194462.4548,436.0659
1606990683581435482,4070,1606990683369014362,world,2690415.8547,1194462.4548,436.0659
1606990683581471809,4071,1606990683489867584,world,2690415.8548,1194462.4548,436.0659
1606990683754682788,4072,1606990683754479824,world,2690415.8548,1194462.4548,436.0659
1606990683993001818,4073,1606990683992524987,world,2690415.8547,1194462.4548,436.0659
1606990684087909000,4074,1606990684087405001,world,2690415.855,1194462.4549,436.066
1606990684231457061,4075,1606990684231138282,world,2690415.8548,1194462.4548,436.066
1606990684375238035,4076,1606990684375038669,world,2690415.855,1194462.4549,436.0659
1606990684614496588,4077,1606990684613947866,world,2690415.855,1194462.4549,436.0659
1606990684676164885,4078,1606990684675884823,world,2690415.8549,1194462.4548,436.066
1606990684798352902,4079,1606990684797909319,world,2690415.8549,1194462.4548,436.066
1606990684875166050,4080,1606990684874760978,world,2690415.855,1194462.4549,436.0659
1606990684987161344,4081,1606990684986664407,world,2690415.8547,1194462.4548,436.0659
1606990685105980001,4082,1606990685105617755,world,2690415.855,1194462.4549,436.0659
1606990685270548510,4083,1606990685270242080,world,2690415.8549,1194462.4548,436.066
1606990685398741036,4084,1606990685398386450,world,2690415.855,1194462.4549,436.0659
1606990685505368640,4085,1606990685505094078,world,2690415.8548,1194462.4548,436.0659
1606990685639281010,4086,1606990685639033653,world,2690415.8551,1194462.4549,436.0659
1606990685687384233,4087,1606990685687046818,world,2690415.855,1194462.4549,436.0659
1606990685825263713,4088,1606990685824926430,world,2690415.855,1194462.4549,436.0659
1606990685967096521,4089,1606990685966811696,world,2690415.8545,1194462.4545,436.066
1606990686126870891,4090,1606990686126606390,world,2690415.8538,1194462.4538,436.0661
1606990686228887803,4091,1606990686228604160,world,2690415.8515,1194462.4521,436.0664
1606990686385880148,4092,1606990686385503310,world,2690415.8481,1194462.4495,436.0668
1606990686440833675,4093,1606990686440414977,world,2690415.8425,1194462.445,436.0674
1606990686590749105,4094,1606990686590406564,world,2690415.8341,1194462.4381,436.0682
1606990686702830432,4095,1606990686702371380,world,2690415.822,1194462.428,436.0691
1606990686853402741,4096,1606990686853067160,world,2690415.8049,1194462.4134,436.0696
1606990686970105332,4097,1606990686969932087,world,2690415.7831,1194462.3945,436.0692
