%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606990619354498846,3599,1606990619186702575,world,2690415.8473,1194462.4544,435.5494
1606990619354524298,3600,1606990619303562005,world,2690415.8469,1194462.4542,435.5494
1606990619398782589,3601,1606990619398483273,world,2690415.847,1194462.4543,435.5494
1606990619555890358,3602,1606990619555490559,world,2690415.8473,1194462.4544,435.5494
1606990619631578699,3603,1606990619631285587,world,2690415.8473,1194462.4544,435.5493
1606990619786570720,3604,1606990619786253350,world,2690415.8473,1194462.4544,435.5494
1606990619898511763,3605,1606990619898178343,world,2690415.8471,1194462.4543,435.5493
1606990620021538484,3606,1606990620021111754,world,2690415.8473,1194462.4544,435.5494
1606990620841924445,3607,1606990620841510924,world,2690415.8475,1194462.4545,435.5493
1606990620945742482,3608,1606990620945316087,world,2690415.8474,1194462.4544,435.5493
1606990621025516467,3609,1606990621025260396,world,2690415.8475,1194462.4545,435.5493
1606990621225224158,3610,1606990621225024842,world,2690415.8475,1194462.4544,435.5494
1606990621412052658,3611,1606990621411890640,world,2690415.8476,1194462.4545,435.5494
1606990621517442467,3612,1606990621516975069,world,2690415.8476,1194462.4545,435.5493
1606990621625127804,3613,1606990621624793175,world,2690415.8477,1194462.4545,435.5493
1606990621807006865,3614,1606990621806576176,world,2690415.8479,1194462.4545,435.5493
1606990621914605025,3615,1606990621914377309,world,2690415.8478,1194462.4546,435.5493
1606990622010747885,3616,1606990622010443480,world,2690415.8475,1194462.4545,435.5493
1606990622181362074,3617,1606990622181175171,world,2690415.8475,1194462.4544,435.5493
1606990622245390416,3618,1606990622245126286,world,2690415.8476,1194462.4545,435.5493
1606990622322449187,3619,1606990622322086364,world,2690415.8475,1194462.4544,435.5493
1606990622402414377,3620,1606990622402109948,world,2690415.8474,1194462.4544,435.5493
1606990622538013541,3621,1606990622537820374,world,2690415.8476,1194462.4545,435.5494
1606990622632012506,3622,1606990622631786660,world,2690415.8475,1194462.4545,435.5493
1606990622821065302,3623,1606990622820727241,world,2690415.8477,1194462.4546,435.5493
1606990622884923955,3624,1606990622884632583,world,2690415.848,1194462.4547,435.5493
1606990623039921543,3625,1606990623039501410,world,2690415.8478,1194462.4546,435.5493
1606990623158086501,3626,1606990623157539793,world,2690415.8477,1194462.4546,435.5493
1606990623282847680,3627,1606990623282390553,world,2690415.8474,1194462.4544,435.5493
