%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606991096926850993,4120586,1606987496247953918,imu_link,0.005147907882928848,0.0073858099058270454,0.3952457904815674,0.9185312986373901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56876754760742,0.5442503094673157,0.8764383792877197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005419222172349691,-0.01503718551248312,0.06262955069541931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096926877528,4120587,1606987496248005186,imu_link,0.005148108582943678,0.007386902347207069,0.39524784684181213,0.9185304045677185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56902313232422,0.5443541407585144,0.8765102028846741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015359967015683651,-0.004627510439604521,0.07093264162540436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096926884601,4120588,1606987496248035516,imu_link,0.005148108582943678,0.007386902347207069,0.39524784684181213,0.9185304045677185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56902313232422,0.5443541407585144,0.8765102028846741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015359967015683651,-0.004627510439604521,0.07093264162540436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096926905663,4120589,1606987496248063848,imu_link,0.005147315561771393,0.007389114238321781,0.3952496349811554,0.9185296297073364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.569252014160156,0.5446212887763977,0.8765280246734619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077015720307827,0.0044730547815561295,0.05959039926528931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096931883341,4120590,1606987496248093710,imu_link,0.005147315561771393,0.007389114238321781,0.3952496349811554,0.9185296297073364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.569252014160156,0.5446212887763977,0.8765280246734619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077015720307827,0.0044730547815561295,0.05959039926528931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096931904624,4120591,1606987496248126717,imu_link,0.005148005206137896,0.007388440892100334,0.39524969458580017,0.9185295701026917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56925964355469,0.5445190668106079,0.8765701055526733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008144424296915531,0.004640763159841299,0.05249180272221565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096931914433,4120592,1606987496248153524,imu_link,0.005148005206137896,0.007388440892100334,0.39524969458580017,0.9185295701026917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56925964355469,0.5445190668106079,0.8765701055526733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008144424296915531,0.004640763159841299,0.05249180272221565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096931922559,4120593,1606987496248179361,imu_link,0.005145258270204067,0.0073885428719222546,0.39525067806243896,0.918529212474823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56937789916992,0.5446533560752869,0.8762860894203186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207894928753376,0.005985897034406662,0.044127218425273895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096977327882,4120594,1606987496248202831,imu_link,0.005145258270204067,0.0073885428719222546,0.39525067806243896,0.918529212474823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56937789916992,0.5446533560752869,0.8762860894203186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207894928753376,0.005985897034406662,0.044127218425273895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606991096977365715,4120595,1606987496248228461,imu_link,0.005145892966538668,0.007387811783701181,0.39525192975997925,0.91852867603302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56953048706055,0.5445464849472046,0.8763206005096436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018366901203989983,-0.01389533281326294,0.039942413568496704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
