%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606987253820954819,10727,1606987253757172665,world,2690413.4857,1194453.1866,436.349
1606987253878406012,10728,1606987253878104412,world,2690413.4854,1194453.1866,436.349
1606987253996119670,10729,1606987253995862757,world,2690413.4853,1194453.1866,436.3491
1606987254108055594,10730,1606987254107837092,world,2690413.4854,1194453.1866,436.3491
1606987254279987032,10731,1606987254279718598,world,2690413.4855,1194453.1866,436.3491
1606987254359798510,10732,1606987254359566344,world,2690413.4854,1194453.1866,436.3491
1606987254455796397,10733,1606987254455531916,world,2690413.4853,1194453.1866,436.3491
1606987254615576992,10734,1606987254615366199,world,2690413.4854,1194453.1867,436.3491
1606987254743408199,10735,1606987254743255969,world,2690413.4854,1194453.1866,436.3491
1606987254934343948,10736,1606987254934103717,world,2690413.4855,1194453.1867,436.349
1606987255149273096,10737,1606987255149003907,world,2690413.4856,1194453.1868,436.349
1606987255249966354,10738,1606987255249834325,world,2690413.4856,1194453.1868,436.3488
1606987255374906651,10739,1606987255374734076,world,2690413.4856,1194453.1865,436.3488
1606987255487305695,10740,1606987255486887365,world,2690413.4853,1194453.1863,436.3489
1606987255587802952,10741,1606987255587594801,world,2690413.4855,1194453.1863,436.349
1606987255690895213,10742,1606987255690556400,world,2690413.4853,1194453.1864,436.3491
1606987255930660203,10743,1606987255930330629,world,2690413.4853,1194453.1863,436.3491
1606987255930689293,10744,1606987255930431865,world,2690413.4857,1194453.1862,436.3492
1606987256019278124,10745,1606987256019139164,world,2690413.4855,1194453.186,436.349
1606987256077283162,10746,1606987256077119386,world,2690413.4854,1194453.186,436.349
1606987256301051668,10747,1606987256300881859,world,2690413.4852,1194453.186,436.3491
1606987256418871898,10748,1606987256418756810,world,2690413.4855,1194453.1859,436.3491
1606987256499024580,10749,1606987256498840659,world,2690413.4853,1194453.186,436.3491
1606987256553021686,10750,1606987256552811325,world,2690413.4852,1194453.186,436.3492
1606987256671742211,10751,1606987256671579900,world,2690413.4853,1194453.1859,436.3491
