%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606987104263226059,926526,1606983503623630287,imu_link,0.0017914434429258108,0.0057371254079043865,-0.8717114925384521,0.4899827241897583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32200622558594,0.5010824799537659,-0.4725235104560852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014404980465769768,-0.013416866771876812,0.020230693742632866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263247423,926527,1606983503623761141,imu_link,0.0017912178300321102,0.005736426915973425,-0.8717114925384521,0.489982545375824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.322021484375,0.501020610332489,-0.4724665582180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008635157719254494,-0.007579460274428129,0.006373187061399221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263264430,926528,1606983503623893844,imu_link,0.0017912178300321102,0.005736426915973425,-0.8717114925384521,0.489982545375824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.322021484375,0.501020610332489,-0.4724665582180023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008635157719254494,-0.007579460274428129,0.006373187061399221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263277253,926529,1606983503623975268,imu_link,0.0017913964111357927,0.005735971033573151,-0.8717116117477417,0.4899825155735016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32203674316406,0.5010128617286682,-0.47241097688674927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00844440795481205,-0.0014807332772761583,-0.008140415884554386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263283818,926530,1606983503624055026,imu_link,0.0017913964111357927,0.005735971033573151,-0.8717116117477417,0.4899825155735016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32203674316406,0.5010128617286682,-0.47241097688674927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00844440795481205,-0.0014807332772761583,-0.008140415884554386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263291915,926531,1606983503624136027,imu_link,0.001789624453522265,0.005737175699323416,-0.8717119693756104,0.48998185992240906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32211303710938,0.5009031295776367,-0.4726311266422272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015589548274874687,0.005785458255559206,-0.016138164326548576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263304994,926532,1606983503624227973,imu_link,0.001789624453522265,0.005737175699323416,-0.8717119693756104,0.48998185992240906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32211303710938,0.5009031295776367,-0.4726311266422272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015589548274874687,0.005785458255559206,-0.016138164326548576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104263322612,926533,1606983503624308095,imu_link,0.0017899383092299104,0.0057390849106013775,-0.871711790561676,0.48998215794563293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32209014892578,0.501041829586029,-0.47280412912368774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00870379526168108,-0.007488430477678776,-0.017974821850657463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104315215666,926534,1606983503624448319,imu_link,0.0017899383092299104,0.0057390849106013775,-0.871711790561676,0.48998215794563293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32209014892578,0.501041829586029,-0.47280412912368774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00870379526168108,-0.007488430477678776,-0.017974821850657463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606987104315231686,926535,1606983503624535668,imu_link,0.0017874973127618432,0.005736572667956352,-0.8717110753059387,0.4899834394454956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-121.32191467285156,0.5006576180458069,-0.4726894497871399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031575332395732403,-8.181750308722258e-05,-0.0023134364746510983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
