%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606988730902708706,9054,1606988730902491241,world,2690396.6147,1194440.9115,436.1093
1606988731144599135,9055,1606988731144306045,world,2690396.6145,1194440.911,436.1094
1606988731144624172,9056,1606988731144384203,world,2690396.6145,1194440.9105,436.1093
1606988731268484432,9057,1606988731268177844,world,2690396.6146,1194440.9111,436.1094
1606988731380501197,9058,1606988731380207804,world,2690396.6146,1194440.911,436.1093
1606988731499309205,9059,1606988731499015705,world,2690396.6146,1194440.9111,436.1093
1606988731618371005,9060,1606988731618038168,world,2690396.6145,1194440.9108,436.1093
1606988731719078209,9061,1606988731718818284,world,2690396.6145,1194440.9107,436.1094
1606988731814086920,9062,1606988731813832260,world,2690396.6146,1194440.9109,436.1094
1606988731957047614,9063,1606988731956674086,world,2690396.6144,1194440.9102,436.1093
1606988732065702552,9064,1606988732065484824,world,2690396.6144,1194440.9107,436.109
1606988732177653763,9065,1606988732177407529,world,2690396.6144,1194440.9114,436.1088
1606988732289697482,9066,1606988732289423421,world,2690396.6142,1194440.9111,436.1087
1606988732382515535,9067,1606988732382336116,world,2690396.614,1194440.9103,436.1087
1606988732542549751,9068,1606988732542232301,world,2690396.614,1194440.9108,436.1086
1606988732681221416,9069,1606988732680957120,world,2690396.6138,1194440.9109,436.1084
1606988732807077715,9070,1606988732806871386,world,2690396.6138,1194440.911,436.1083
1606988732897286136,9071,1606988732896935666,world,2690396.6136,1194440.9108,436.1084
1606988733008946515,9072,1606988733008703288,world,2690396.6136,1194440.9106,436.1083
1606988733181855095,9073,1606988733181549837,world,2690396.6135,1194440.911,436.1084
1606988733308605184,9074,1606988733308432833,world,2690396.6134,1194440.9115,436.1086
1606988733480790132,9075,1606988733480398481,world,2690396.6132,1194440.9113,436.1089
1606988733823188353,9076,1606988733822999432,world,2690396.6131,1194440.9107,436.108
1606988733884140377,9077,1606988733883906074,world,2690396.6132,1194440.9112,436.1082
1606988734059004881,9078,1606988734058805869,world,2690396.6132,1194440.9125,436.1085
1606988734116013291,9079,1606988734115776313,world,2690396.6133,1194440.9145,436.1086
1606988734184763270,9080,1606988734184632252,world,2690396.6134,1194440.9175,436.1091
1606988734291914037,9081,1606988734291606672,world,2690396.614,1194440.9225,436.1084
1606988734369870608,9082,1606988734369593623,world,2690396.6147,1194440.9317,436.1088
1606988734497635559,9083,1606988734497444921,world,2690396.6158,1194440.9439,436.1092
1606988734577552044,9084,1606988734577345825,world,2690396.6164,1194440.9591,436.1098
1606988734662474246,9085,1606988734662265563,world,2690396.6168,1194440.9745,436.1106
1606988734753746318,9086,1606988734753312180,world,2690396.6195,1194440.9913,436.1109
1606988734913233768,9087,1606988734913006052,world,2690396.6248,1194441.011,436.1136
1606988735025181782,9088,1606988735024991700,world,2690396.6314,1194441.0413,436.1151
1606988735214002140,9089,1606988735213769745,world,2690396.6353,1194441.0783,436.1167
1606988735373844443,9090,1606988735373601220,world,2690396.6374,1194441.1122,436.1179
1606988735434658385,9091,1606988735434501470,world,2690396.6514,1194441.1693,436.1192
1606988735543561786,9092,1606988735543403300,world,2690396.6585,1194441.2154,436.1203
1606988735655815952,9093,1606988735655479333,world,2690396.6641,1194441.2568,436.1203
