%time,field.header.seq,field.header.stamp,field.header.frame_id,field.point.x,field.point.y,field.point.z
1606987356982331680,11539,1606987356777997603,world,2690389.0638,1194455.592,436.1833
1606987356982359527,11540,1606987356851991422,world,2690389.0192,1194455.5986,436.1809
1606987356988167859,11541,1606987356987853525,world,2690388.9726,1194455.6164,436.1823
1606987357115811330,11542,1606987357115598270,world,2690388.9314,1194455.6222,436.1803
1606987357241877268,11543,1606987357241600812,world,2690388.8878,1194455.6362,436.1827
1606987357361470346,11544,1606987357361332902,world,2690388.8426,1194455.6517,436.1804
1606987357487687613,11545,1606987357487391369,world,2690388.7948,1194455.6826,436.18
1606987357567560815,11546,1606987357567264823,world,2690388.7528,1194455.7084,436.1789
1606987357678576764,11547,1606987357678258071,world,2690388.7097,1194455.7271,436.1783
1606987357881302219,11548,1606987357881039248,world,2690388.6659,1194455.7395,436.1775
1606987357975135329,11549,1606987357974894827,world,2690388.6201,1194455.751,436.1777
1606987358071237793,11550,1606987358070947961,world,2690388.5731,1194455.7654,436.1783
1606987358167300577,11551,1606987358166947739,world,2690388.5254,1194455.7894,436.178
1606987358300107102,11552,1606987358299728701,world,2690388.4759,1194455.7991,436.1756
1606987358459853309,11553,1606987358459546218,world,2690388.4178,1194455.8142,436.1751
1606987358534682085,11554,1606987358534468228,world,2690388.3721,1194455.8244,436.1741
1606987358677824364,11555,1606987358677382238,world,2690388.3247,1194455.8311,436.1737
1606987358757584639,11556,1606987358757272221,world,2690388.2811,1194455.838,436.1733
1606987358884511503,11557,1606987358884147829,world,2690388.2341,1194455.8525,436.172
1606987359017339269,11558,1606987359017082969,world,2690388.188,1194455.8614,436.1737
1606987359189275371,11559,1606987359188919432,world,2690388.1404,1194455.8662,436.174
1606987359348074671,11560,1606987359347833163,world,2690388.0985,1194455.8726,436.174
1606987360035669714,11561,1606987360035293140,world,2690387.8142,1194455.9107,436.1686
1606987360175503869,11562,1606987360175164622,world,2690387.7548,1194455.919,436.1679
1606987360316427136,11563,1606987360316055628,world,2690387.7163,1194455.9287,436.1692
1606987360387314787,11564,1606987360386973690,world,2690387.6703,1194455.9357,436.1693
1606987360512102312,11565,1606987360511775502,world,2690387.6235,1194455.9421,436.1678
1606987360607958620,11566,1606987360607737357,world,2690387.589,1194455.9452,436.1708
1606987360762050792,11567,1606987360761697881,world,2690387.5554,1194455.948,436.171
1606987360889694288,11568,1606987360889487377,world,2690387.5182,1194455.9526,436.1688
1606987360982818419,11569,1606987360982449613,world,2690387.4888,1194455.9536,436.1695
1606987361116498309,11570,1606987361116250528,world,2690387.4631,1194455.9529,436.1689
1606987361233460861,11571,1606987361233194232,world,2690387.4378,1194455.9514,436.1669
1606987361373317501,11572,1606987361373080930,world,2690387.4123,1194455.9535,436.1654
1606987361493462543,11573,1606987361493056329,world,2690387.3953,1194455.9573,436.1656
1606987361568118990,11574,1606987361567888800,world,2690387.3839,1194455.96,436.166
1606987361711096035,11575,1606987361710775787,world,2690387.3773,1194455.9611,436.1664
1606987361859811680,11576,1606987361859582038,world,2690387.374,1194455.9612,436.1661
1606987361960891985,11577,1606987361960544033,world,2690387.3829,1194455.96,436.1655
1606987362065845877,11578,1606987362065543205,world,2690387.3969,1194455.9574,436.1645
1606987362281756952,11579,1606987362281411436,world,2690387.4077,1194455.9556,436.1642
1606987362376412723,11580,1606987362376216402,world,2690387.4201,1194455.9535,436.1643
1606987362509513092,11581,1606987362509195838,world,2690387.4312,1194455.9522,436.1649
1606987362589241667,11582,1606987362589040668,world,2690387.4432,1194455.9509,436.1661
1606987362711089995,11583,1606987362710895557,world,2690387.4568,1194455.9501,436.1671
1606987362839066103,11584,1606987362838790576,world,2690387.4753,1194455.9502,436.168
1606987363061121555,11585,1606987363060734839,world,2690387.5004,1194455.9508,436.1681
1606987363150687350,11586,1606987363150453022,world,2690387.5337,1194455.951,436.1681
1606987363286419877,11587,1606987363286272161,world,2690387.5625,1194455.9509,436.17
