%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1606988877739277630,2345311,1606985277123826783,imu_link,-0.005207955837249756,-0.005792165640741587,0.22283701598644257,-0.9748246073722839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.74928092956543,0.7800340056419373,0.43390339612960815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029710937291383743,-0.013018259778618813,0.045784298330545425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739307583,2345312,1606985277123957846,imu_link,-0.005207955837249756,-0.005792165640741587,0.22283701598644257,-0.9748246073722839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.74928092956543,0.7800340056419373,0.43390339612960815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029710937291383743,-0.013018259778618813,0.045784298330545425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739323070,2345313,1606985277124045103,imu_link,-0.005209287162870169,-0.005793702322989702,0.22283679246902466,-0.9748246669769287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749252319335938,0.7802396416664124,0.4340130686759949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016782741993665695,-0.012913361191749573,0.03884806111454964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739348002,2345314,1606985277124146488,imu_link,-0.005209287162870169,-0.005793702322989702,0.22283679246902466,-0.9748246669769287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749252319335938,0.7802396416664124,0.4340130686759949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016782741993665695,-0.012913361191749573,0.03884806111454964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739356289,2345315,1606985277124224974,imu_link,-0.005214494187384844,-0.005797327030450106,0.22283817827701569,-0.9748243093490601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749408721923828,0.7807781100273132,0.43450111150741577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03005335107445717,-0.009640931151807308,0.04188592731952667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739364190,2345316,1606985277124331245,imu_link,-0.005214494187384844,-0.005797327030450106,0.22283817827701569,-0.9748243093490601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749408721923828,0.7807781100273132,0.43450111150741577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03005335107445717,-0.009640931151807308,0.04188592731952667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739386687,2345317,1606985277124409311,imu_link,-0.005215304903686047,-0.0057967668399214745,0.22283835709095,-0.9748242497444153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.74942970275879,0.7807363271713257,0.4346058666706085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043287117034196854,-0.01088310033082962,0.04887419193983078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739409818,2345318,1606985277124533253,imu_link,-0.005215304903686047,-0.0057967668399214745,0.22283835709095,-0.9748242497444153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.74942970275879,0.7807363271713257,0.4346058666706085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043287117034196854,-0.01088310033082962,0.04887419193983078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739421506,2345319,1606985277136916491,imu_link,-0.005216678138822317,-0.0057946546003222466,0.22283828258514404,-0.9748242497444153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749420166015625,0.7805352807044983,0.4348132908344269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021320383995771408,-0.015593982301652431,0.05303029716014862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606988877739428010,2345320,1606985277137066684,imu_link,-0.005216678138822317,-0.0057946546003222466,0.22283828258514404,-0.9748242497444153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.749420166015625,0.7805352807044983,0.4348132908344269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021320383995771408,-0.015593982301652431,0.05303029716014862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
