Place,TrimSart,TrimEnd,Median,Mean,Std,Max,Min
IMU_winkel1X10,400,400,170.22962951660156,170.22967488100062,0.003378056681112288,170.235595703125,170.21876525878906
IMU_winkel2X10,400,400,170.20452880859375,170.2049735379036,0.0036124216123045905,170.21463012695312,170.197998046875
IMU_winkel3X10,400,400,170.2209930419922,170.22124164281217,0.0069128145263402585,170.23240661621094,170.2018585205078
IMU_winkel4X10,400,400,-162.8177947998047,-161.8716706906012,2.983678763029101,-154.74395751953125,-165.03350830078125
IMU_winkel5X10,400,400,170.2004852294922,170.20018622615044,0.007287408162689161,170.21229553222656,170.18063354492188
IMU_winkel1Y10,400,400,9.940621852874756,9.95783864819125,0.09088329790730465,10.199819564819336,9.817789077758787
IMU_winkel2Y10,400,400,9.788033962249756,9.782436776932872,0.011615879785618064,9.798672676086426,9.7314453125
IMU_winkel3Y10,400,400,9.783536911010742,9.783913684479069,0.009436197430958153,9.848685264587402,9.758779525756836
IMU_winkel4Y10,400,400,11.80215072631836,13.916426605588326,4.490686297745664,24.74322891235352,9.73656940460205
IMU_winkel5Y10,400,400,9.804638862609863,9.803787375092831,0.004591684529458374,9.813323974609377,9.787592887878418
