Place,TrimSart,TrimEnd,Median,Mean,Std,Max,Min
IMU_aufgelegt_RollX1,400,400,-0.08634866774082184,-0.08645696133073326,0.002032176738463753,-0.08071431517601013,-0.09201228618621826
IMU_aufgelegtPitchY1,400,400,0.005611703731119633,0.005191861627369824,0.005172529994987598,0.014139524661004543,-0.007936642505228521
IMU_aufgelegt_RollX2,400,400,-0.08066467195749283,-0.08041344202997396,0.0024893631981492094,-0.07304233312606813,-0.08594221621751785
IMU_aufgelegtPitchY2,400,400,0.05550466105341911,0.05458540185298739,0.0035485990124117764,0.06138236075639725,0.044984616339206696
IMU_aufgelegt_RollX3,400,400,-0.09106225520372392,-0.09058584416938456,0.003620025688812154,-0.0825204998254776,-0.09766034036874773
IMU_aufgelegtPitchY3,400,400,-0.0070156045258045205,-0.007438162679518116,0.004490390048354574,0.006447921507060528,-0.018028177320957184
IMU_aufgelegt_RollX4,400,400,128.64466857910156,44.41694824437179,112.64451149501045,179.94815063476562,-179.8853302001953
IMU_aufgelegtPitchY4,400,400,-66.75010681152344,-65.32207490573876,13.153249046228748,-36.87189483642578,-83.6719970703125
IMU_aufgelegt_RollX5,400,400,-0.08696267753839493,-0.08647593511048765,0.002699144332500782,-0.08077745884656906,-0.09287862479686736
IMU_aufgelegtPitchY5,400,400,-0.035949446260929115,-0.03582406993921569,0.009827359550548836,-0.016944590955972668,-0.06567460298538208
