Place,TrimSart,TrimEnd,Median,Mean,Std,Max,Min
IMU_winkel0X,400,400,-179.95635986328125,-179.9563298068609,0.003910470233945349,-179.9461212158203,-179.96434020996094
IMU_winkel2.5X,400,400,177.49415588378906,177.4941837001997,0.0025230738907179003,177.5001983642578,177.4881134033203
IMU_winkel5X,400,400,173.84032440185547,173.84196417934584,0.29609922118780324,174.35140991210938,173.34414672851562
IMU_winkel10X,400,400,170.1732635498047,170.17249498651603,0.009785133091046932,170.18649291992188,170.15383911132812
IMU_winkel15X,400,400,165.5422592163086,165.54574002138438,0.010134551189606315,165.5664825439453,165.52670288085938
IMU_winkel20X,400,400,160.8590545654297,160.85771814394238,0.005365115554906246,160.86630249023438,160.8444366455078
